HATE_SPEECH,COUNTER_NARRATIVE,TARGET
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both.",We do have to choose. It's ok to accept them both.,other
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both.","We can choose not to hate, and start to build bridges so we understand each other.",other
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN
"The UK Government recently published a paper on Online Harms  in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our own people but the government chooses not to. Homelessness is an issue of wealth inequality not migration  if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS
"When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,WOMEN
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The US is the second most polluting country in the world - as the worlds biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",other
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS
"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS
"The UK Government recently published a paper on Online Harms  in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,other
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,"The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from.",JEWS
"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",POC
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",LGBT+
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotional? You must have never heard of the likes of Rosa Parks, Emmeline Pankhurst and Florence Nightingale, then.",WOMEN
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotinal' are personality traits, may I sugesst you read up on the #HeforShe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions.",WOMEN
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,MIGRANTS
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world.",LGBT+
"The UK Government recently published a paper on Online Harms  in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Sadly people need censoring, to stop them spreading hate,.",other
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.,LGBT+
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Replaced by what exactly? I think our population will be fine.,WOMEN
"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","Reparation is a historical process and has happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense.",JEWS
"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",reparations for an attempt at ethnic cleansing on a huge scale seems reasonable to me...,JEWS
"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.",Really? I'd sit with a group of Jews any day.,JEWS
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","perhaps the problem isnt immigration, but rather the lack of affordable housing. like you said, this is an area of houses over 1m!",MIGRANTS
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Perhaps the nations that you cite are more accepting of other nationalities.,other
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening.",JEWS
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"People reading stories to children, teaching them about the world?",LGBT+
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Or maybe they want their culture to survive.,JEWS
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"Not sure how reading a book is a problem, sounds pretty nice for the kids.",LGBT+
"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.","Not quite sure I agree, I have never felt threatened by a Jewish person, whereas I'm pretty scared of nuclear war.",JEWS
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),No-one is forcing anyone into practices they don't want to take part in here.,LGBT+
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"My whole family voted against Brexit, and we are not Jewish.",JEWS
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","My best friend is Jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the UK a better place.",JEWS
The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,"My best friend is Jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the UK a better place.",JEWS
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Minority voices are notoriously ignored.,JEWS
Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Milking it? Millions of people suffered during this tragedy,JEWS
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Maybe the reason for such a rise in UK benefit claimants is due to unequal opportunities and lack of job opportunities , and this goes for everyone, not just 'foreigners'.",MIGRANTS
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem.",other
"The UK Government recently published a paper on Online Harms  in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",My reading of the Online harms bill is that is seeks to ensure that people are able to conduct their lives online and exercise their right to free speech without suffering harm and abuse while they do so.,other
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"Its a simple line to believe that population growth in other places is the cause of climate change and ocean pollution  but really if you think about it, the poorest people arent the ones over-consuming resources and pumping out pollution into our oceans. It is right to be worried about our oceans, but we need to be talking about resource-consumption and wealth inequality! Question power at the top not the bottom.",other
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",It is possible to love one's country and one's religious home. The two are not exclusive.,JEWS
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"It is more than 'foreigners' who are asking for help, White British families are the most likely out of all ethnic groups to receive state support, with 57% doing so.",MIGRANTS
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","Is it due to immigration, or the lack of affordable housing, unemployment, poverty, mental illness and the lack of needed services, substance abuse and the lack of services? Do I need to go on?",MIGRANTS
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",If you personally had some distant Spanish or Jewish heritage and you identified more as American surely that doesn't mean that you can't be an American patriot?,JEWS
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"If the Jewish community was controlling these kind of industries, they would surely make a high priority of Jewish concerns? But there's so many anti-Israel narratives in the American media. So this doesn't make sense.",JEWS
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",I'm not moaning about diversity in the UK when I get a doctor from abroad who is highly competent and allows me to get better - in an NHS which is understaffed and underfunded.,other
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",I'd suggest a walk down West London where areas like St John's Wood are very affluent with mostly white people living there.,JEWS
The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,I wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. Wars which are often directly or indirectly caused by Western powers who created long lasting problems abroad.,JEWS
Must be hard being gay. They have to do everything we do but also find the time to molest children.,Child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. This is an issue that can affect anyone regardless of sexual orientation.,LGBT+
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,I didn't want Brexit either and I'm not a Jew.,JEWS
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"I can't say I've ever come across 'fag pride'. Gay pride or LGBT+ pride, perhaps?",LGBT+
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"I can understand that youre frustrated  austerity has hit so many of us horribly, but your blame is directed to the wrong people. Migrants are statistically less likely to claim benefits, plus theyre not easy to access anyway. Most people receiving benefits in the UK are actually in work, direct your anger towards better pay and conditions!",MIGRANTS
The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,"Actually there are also some Jews that hate other jews: ""I belonged to Europe, to Germany, and I thanked my creator that I was German"" - Victor Klemperer speaking of his experience in WW1, explaining his dislike of Russian Jews... Do you feel better now that we proved that Jews hate everybody? #sarcasm",JEWS
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",How many people walked by and did nothing? Is the problem uncontrolled immigration or indifference of our society?,MIGRANTS
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",Homelessness is a very complex issue with no simple answers.,MIGRANTS
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",have you considered equality rather than supremacy? seems like a sensible option,other
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Gender equality is the key to a productive household as well as economy overall. To restrict women from entering all spheres of society is to reduce the potential of any country.,WOMEN
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Feminism is about equal rights between men and women, and challenges socially imposed burdens upon both men and women.",WOMEN
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,Explain what exactly?,JEWS
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Everyone on the planet has a responsibility towards the climate.,other
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Everyone coming together to help climate change will inevitably make a change.,other
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,"Ethnic minorities is a term used within a specific context, here for example, in the UK, people from these countries are minorities.",MIGRANTS
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Equality means that a man would not be called a coward. Women have plenty to offer the world of politics and as much of a right to take part as anyone else.,WOMEN
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Do you have any proof?,JEWS
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Do you have any proof of this?,JEWS
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Compassion and empathy are valuable assets in any civilisation.,WOMEN
Must be hard being gay. They have to do everything we do but also find the time to molest children.,"Child molesters are not all gay, just as men are not all rapists.",LGBT+
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"Censure and banning protect the vulnerable from seeing harmful content. Not such a bad thing, whoever does it.",JEWS
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"Brexit will be damaging for many of us, plenty of people oppose it.",JEWS
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Brexit is a good thing then?,JEWS
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Both men and women can possess characteristics like 'soft' and 'emotional',which are not determined by gender, nor are they a negative thing. Maybe we could all use a bit more compassion and 'emotion' in today's world?",WOMEN
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Benefits are a thing created to help everyone, every ethnicity can claim them in order to live off it isn't a thing specifically for 'foreigners'",MIGRANTS
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","Asylum seekers and refugees deserve our compassion, not condemnation.",MIGRANTS
Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Are you aware of all the genocides that have happened since the Holocaust?.,JEWS
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","any belief of a certain race or ethnicity being superior to another is problematic, not just white supremacy.",other
"The UK Government recently published a paper on Online Harms  in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Anti-hate organisations are doing brilliant work, and getting rid of hate speech isn't a bad thing.",other
Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,"And yet genocides have happened across the world since. Perhaps, the Holocaust would be forgotten if it's lessons had been learned but they haven't.",JEWS
The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,2018 saw America take in the fewest refugees in the last 40 years.,JEWS
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",If we analyse the current political state of Britain at the moment it doesn't prove much about a man's ability to run the country smoothly. Politics is hard for all genders.,WOMEN
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The fact that ocean pollution is a huge environmental problems, does not rule out that climate change is a global problem too, and everyone should help to combat it.",other
"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.",So you are saying that you'd rather be nuked than live with them?,JEWS
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Are you worried about government expenditure? Because it has been shown that migration reduces pressure on government debt over time: migrants are more likely to be workers that contribute to our economy with taxes.,MIGRANTS
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents from all over the world, and still be a patriot for our country.",JEWS
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.","Alternatively, I think that the main causes of radicalisation and extremism are colonialism and the many Western military interventions abroad.",JEWS
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Would you say the same thing to your mother, or to the nurses who treat you in hospital, or the teacher who taught you in school?",WOMEN
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Do you know how much money ""foreigners"" are giving the UK in taxes? If you knew that then you would see how much we have to thank them for. Maybe it would be better to focus on stopping tax evasion.",MIGRANTS
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",So useless that it also takes a women to generate a man... right?,WOMEN
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Are brutality and cruelty are much better than softeness and emotions then? If we keep on reasoning like this we will perpetuate socially constructed gender norms which oppress both men and women.,WOMEN
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Do we really need supremacy? Can't we all live peacefully since we are all created equal in the eyes of God?,other
We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,"Why is being 'soft' a problem? Everyone is entitled to their emotions and feelings, without being trapped into a gender stereotype.",WOMEN
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Why should they? I wonder if you have any evidence that makes you believe this.,JEWS
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both.","We can also choose NOT to hate, and start to build bridges to better understand each other.",other
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",We are always evolving as a society as time goes. Same sex relationships are a part of our world now. Why should we hide different ways of life from our children?,LGBT+
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept others isn't state enforcement. It's just stating that we should stop the persecusion of people who have different private lifes.,LGBT+
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","Our goal as a democratic society is to have a more positive and respectful political environment, where inclusivity and representation of all types of people is enforced. Therefore women do belong in politics.",WOMEN
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,"Sorry, but you should consider the percentage of the population within Great Britain... This makes them a minority, not the actual number in their respective countries.",MIGRANTS
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Dont make me fucking laugh!,Does not matter if their are a minority or not. Everyone deserves respect and protection and human rights. This is what makes us a democratic country.,MIGRANTS
